,ref,greek,lemma,pos,didakta,rel,syn,line,didakta_1,didakta_2,didakta_3,didakta_4,true_didakta,pred_didakta,feature_text
265,20,νόστον,νόστος,n-s---ma-,AccResp,19.0,OBJ_AP,5.31,AccResp,,,,AccResp,AccObj,ref=20 | greek=νόστον | lemma=νόστος | pos=n-s---ma- | rel=19.0 | syn=OBJ_AP | line=5.31
2334,3,πηδαλίῳ,πηδάλιον,n-s---nd-,DatInstr,4.0,ADV,5.27,DatInstr,,,,DatInstr,DatLoc,ref=3 | greek=πηδαλίῳ | lemma=πηδάλιον | pos=n-s---nd- | rel=4.0 | syn=ADV | line=5.27
2147,15,ἁρμονίῃσιν,ἁρμονία,n-p---fd-,DatInstr,14.0,ADV_CO,5.248,DatInstr,,,,DatInstr,DatLoc,ref=15 | greek=ἁρμονίῃσιν | lemma=ἁρμονία | pos=n-p---fd- | rel=14.0 | syn=ADV_CO | line=5.248
3431,34,κακότητος,κακότης,n-s---fg-,GenVerb.1,35.0,OBJ,5.397,GenVerb,,,,GenVerb,GenMeas,ref=34 | greek=κακότητος | lemma=κακότης | pos=n-s---fg- | rel=35.0 | syn=OBJ | line=5.397
529,5,ὀπὶ,ὄψ,n-s---fd-,DatInstr,4.0,ADV,5.61,DatInstr,,,,DatInstr,DatLoc,ref=5 | greek=ὀπὶ | lemma=ὄψ | pos=n-s---fd- | rel=4.0 | syn=ADV | line=5.61
2601,17,γαῖαν,γαῖα,n-s---fa-,AccObj,18.0,OBJ,5.301,AccObj,,,,AccObj,AccDirec,ref=17 | greek=γαῖαν | lemma=γαῖα | pos=n-s---fa- | rel=18.0 | syn=OBJ | line=5.301
1736,10,μύθων,μῦθος,n-p---mg-,GenVerb,11.0,OBJ,5.202,GenVerb,,,,GenVerb,AccObj,ref=10 | greek=μύθων | lemma=μῦθος | pos=n-p---mg- | rel=11.0 | syn=OBJ | line=5.202
8648,2274334.18,Βριάρεως,Βριάρεων,n-s---ma-,AccDoubl.,2274334.19,OCOMP,Ref=1.403,AccDoubl,,,,AccDoubl,AccObj,ref=2274334.18 | greek=Βριάρεως | lemma=Βριάρεων | pos=n-s---ma- | rel=2274334.19 | syn=OCOMP | line=Ref=1.403
8638,2274334.8,δεσμός,δεσμῶν,n-p---mg-,GenSep. ,2274334.7,OBJ,Ref=1.401|SpaceAfter=No,GenSep,,,,GenSep,GenComp,ref=2274334.8 | greek=δεσμός | lemma=δεσμῶν | pos=n-p---mg- | rel=2274334.7 | syn=OBJ | line=Ref=1.401|SpaceAfter=No
3818,19,πετράων,πέτρα,n-p---fg-,GenObj.6,18.0,ATR,5.443,GenObj,,,,GenObj,GenPart,ref=19 | greek=πετράων | lemma=πέτρα | pos=n-p---fg- | rel=18.0 | syn=ATR | line=5.443
